IO_Size,Q_Depth,Workload_Mix,Workload_Type,Core_Mask,Run_Time,Run,IOPS,MBps,Avg_lat(us),Min_lat(us),Max_lat(us)
4096,128,0,randrw,0x3,60,2,680633.5,2658.72,1510.92,12.85,999455.5
4096,128,0,randrw,0x3,60,3,669604.62,2615.64,1507.84,13.05,869857.69
65536,1,100,randrw,0x1,60,1,10298.13,643.63,296.44,144.49,4405.13
65536,1,100,randrw,0x1,60,2,10702.45,668.9,287.26,138.3,3565.62
65536,1,100,randrw,0x1,60,3,10651.32,665.71,290.19,141.05,7299.75
65536,1,100,randrw,0x3,60,1,10625.97,664.12,291.02,143.78,3188.06
65536,1,100,randrw,0x3,60,2,10625.63,664.1,290.63,144.69,3380.9
65536,1,100,randrw,0x3,60,3,10649.55,665.6,290.57,142.8,4296.67
65536,1,70,randrw,0x1,60,1,9137.05,571.07,345.83,50.22,6280.71
65536,1,70,randrw,0x1,60,2,8901.83,556.36,362.67,50.29,7850.6
65536,1,70,randrw,0x1,60,3,8995.15,562.2,355.6,50.33,6090.22
65536,1,70,randrw,0x3,60,1,8973.57,560.85,355.53,50.26,9164.98
65536,1,70,randrw,0x3,60,2,8970.87,560.68,356.11,50.27,7094.99
65536,1,70,randrw,0x3,60,3,8898.1,556.13,359.75,50.16,6150.05
65536,1,0,randrw,0x1,60,1,31698.54,1981.16,277.5,49.79,8909.79
65536,1,0,randrw,0x1,60,2,19302.05,1206.38,300.99,50.21,9122.7
65536,1,0,randrw,0x1,60,3,17497.27,1093.58,279.76,50.38,11010.78
65536,1,0,randrw,0x3,60,1,28513.65,1782.1,226.01,50.17,11392.88
65536,1,0,randrw,0x3,60,2,31992.68,1999.54,206.47,50.28,892974.25
65536,1,0,randrw,0x3,60,3,37576.7,2348.54,194.47,50.11,910016.75
65536,8,100,randrw,0x1,60,1,56615.77,3538.49,430.9,128.9,5359.23
65536,8,100,randrw,0x1,60,2,56722.48,3545.16,430.26,127.2,4316.4
65536,8,100,randrw,0x1,60,3,56431.09,3526.94,432.2,146.53,7467.12
65536,8,100,randrw,0x3,60,1,58405.5,3650.34,422.09,169.1,9350.05
65536,8,100,randrw,0x3,60,2,59092.58,3693.29,422.43,167.04,5380.05
65536,8,100,randrw,0x3,60,3,59260.57,3703.79,418.45,167.14,5272.61
65536,8,70,randrw,0x1,60,1,32847.98,2053.0,918.02,49.41,12477.75
65536,8,70,randrw,0x1,60,2,25790.4,1611.9,1104.6,49.77,12210.61
65536,8,70,randrw,0x1,60,3,27341.32,1708.83,1013.09,48.92,13811.04
65536,8,70,randrw,0x3,60,1,30885.88,1930.37,893.63,48.34,14081.3
65536,8,70,randrw,0x3,60,2,33611.96,2100.75,932.6,49.02,12954.45
